# What each character's achievements said, and when. Not shipped.
# Safe to delete, at the cost of one cold pass -- which is not cheap here.
sðe-shekzeer	2026-09-11 14:27:26	2473	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
seishironagî-shekzeer	2026-09-11 14:27:31	2432	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
shotq-shekzeer	2026-09-11 14:27:31	2434	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
sixtyzen-everlook	2026-09-11 14:27:24	2635	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
skinnywintrd-shekzeer	2026-09-11 14:27:30	2428	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093
squêêzýx-shekzeer	2026-09-11 14:27:24	2575	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
squêêzýxx-shekzeer	2026-09-11 14:27:25	2537	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
swpdwxc-shekzeer	2026-09-11 14:27:23	2655	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093
swpdxl-shekzeer	2026-09-11 14:27:23	2644	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093
szashå-shekzeer	2026-09-11 14:27:32	2422	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
tenzøjr-shekzeer	2026-09-11 14:27:26	2485	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266,5267
tokonatsu-shekzeer	2026-09-11 14:27:32	2388	399,400,401,402,403,405,406,1159,1174,2090,2091,2092,2093
trachea-shekzeer	2026-09-11 14:27:31	2431	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
türtle-garalon	2026-09-11 14:27:31	2420	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
vahx-shekzeer	2026-09-11 14:27:24	2591	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
wheelkick-shekzeer	2026-09-11 14:27:33	2369	399,400,401,402,403,405,1159,1174,2090,2092,2093
